Weapon,Minimum,Q1,Q3,Maximum,Median,IQR
CX8 Storm,180,180.0,240.0,600,180.0,60.0,CX8 Storm,300,540.0,900.0,1920,720.0,360.0,CX8 Storm,420,1680.0,2820.0,6840,2220.0,1140.0,CX8 Storm,1020,5040.0,8820.0,24060,6720.0,3780.0,CX8 Storm,0,0.0,0.0,0,0.0,0.0
Vector 10mm,110,110.0,165.0,440,110.0,55.0,Vector 10mm,220,385.0,660.0,1925,550.0,275.0,Vector 10mm,275,1210.0,2200.0,5995,1650.0,990.0,Vector 10mm,440,3685.0,6820.0,19030,5060.0,3135.0,Vector 10mm,0,0.0,0.0,0,0.0,0.0
Vector 9mm,165,165.0,220.0,660,165.0,55.0,Vector 9mm,330,605.0,935.0,2035,770.0,330.0,Vector 9mm,440,1870.0,3025.0,7975,2420.0,1155.0,Vector 9mm,1375,5610.0,9405.0,23320,7315.0,3795.0,Vector 9mm,0,0.0,0.0,0,0.0,0.0
Luty,150,150.0,200.0,500,150.0,50.0,Luty,250,450.0,750.0,1750,600.0,300.0,Luty,300,1400.0,2400.0,5350,1850.0,1000.0,Luty,400,4250.0,7350.0,19100,5700.0,3100.0,Luty,0,0.0,0.0,0,0.0,0.0
MAC-10,120,120.0,160.0,440,120.0,40.0,MAC-10,200,360.0,600.0,1400,480.0,240.0,MAC-10,280,1120.0,1920.0,4960,1480.0,800.0,MAC-10,680,3400.0,5920.0,15000,4520.0,2520.0,MAC-10,0,0.0,0.0,0,0.0,0.0
MAC-11,114,114.0,152.0,418,114.0,38.0,MAC-11,228,418.0,646.0,1672,532.0,228.0,MAC-11,380,1292.0,2090.0,5814,1672.0,798.0,MAC-11,684,3838.0,6346.0,14706,5016.0,2508.0,MAC-11,0,0.0,0.0,0,0.0,0.0
MAT-49,300,300.0,400.0,900,300.0,100.0,MAT-49,500,900.0,1500.0,3800,1200.0,600.0,MAT-49,600,2800.0,4800.0,12000,3700.0,2000.0,MAT-49,1200,8400.0,14600.0,41600,11100.0,6200.0,MAT-49,0,0.0,0.0,0,0.0,0.0
MP40,230,230.0,345.0,1035,230.0,115.0,MP40,575,1035.0,1725.0,4830,1380.0,690.0,MP40,805,3220.0,5405.0,13685,4255.0,2185.0,MP40,1725,9660.0,16905.0,53935,12880.0,7245.0,MP40,0,0.0,0.0,0,0.0,0.0
MP5,160,160.0,240.0,640,160.0,80.0,MP5,400,720.0,1200.0,3040,960.0,480.0,MP5,480,2240.0,3840.0,9760,2960.0,1600.0,MP5,1280,6720.0,11840.0,37040,9040.0,5120.0,MP5,0,0.0,0.0,0,0.0,0.0
MP7,116,116.0,116.0,290,116.0,0.0,MP7,174,174.0,290.0,870,232.0,116.0,MP7,232,580.0,928.0,2552,696.0,348.0,MP7,232,1276.0,2320.0,7250,1740.0,1044.0,MP7,406,3886.0,7192.0,19894,5394.0,3306.0
MP9,126,126.0,189.0,504,126.0,63.0,MP9,315,567.0,882.0,2520,756.0,315.0,MP9,315,1764.0,3024.0,8757,2331.0,1260.0,MP9,756,5292.0,9261.0,27720,7056.0,3969.0,MP9,0,0.0,0.0,0,0.0,0.0
MPX JW,210,210.0,280.0,770,210.0,70.0,MPX JW,350,630.0,1050.0,2450,840.0,420.0,MPX JW,420,1960.0,3360.0,8050,2590.0,1400.0,MPX JW,1050,5950.0,10290.0,27440,7910.0,4340.0,MPX JW,0,0.0,0.0,0,0.0,0.0
FNP90,108,108.0,108.0,324,108.0,0.0,FNP90,162,162.0,270.0,702,216.0,108.0,FNP90,216,540.0,864.0,2052,648.0,324.0,FNP90,216,1188.0,2160.0,6588,1620.0,972.0,FNP90,432,3618.0,6696.0,20736,4968.0,3078.0
PP-19 Bizon,267,267.0,356.0,979,267.0,89.0,PP-19 Bizon,534,979.0,1513.0,3649,1246.0,534.0,PP-19 Bizon,801,3026.0,4895.0,13528,3916.0,1869.0,PP-19 Bizon,1602,8989.0,15041.0,42097,11837.0,6052.0,PP-19 Bizon,0,0.0,0.0,0,0.0,0.0
PPSH,114,114.0,114.0,399,114.0,0.0,PPSH,171,171.0,285.0,684,228.0,114.0,PPSH,228,570.0,912.0,2166,741.0,342.0,PPSH,285,1254.0,2280.0,6498,1767.0,1026.0,PPSH,456,3819.0,7068.0,18753,5301.0,3249.0
