AK-109,AK5C,AK-74,AKM,AKS74-U,AS VAL,AUG A1,SKS Auto,Famas-G2,G36k,G3A3,Galil,L85A2,M16A2,M4,SCAR-L,SG552,Stoner 63,VSS,Agram 2000,CX8 Storm,Vector 10mm,Vector 9mm,Luty,MAC-10,MAC-11,MAT-49,MP40,MP5,MP7,MP9,MPX JW,FNP90,PP-19 Bizon,PPSH,Thompson 1928,UMP45,UMP45 Reaper,BAR,XM250,M1A SASS,SKS,AWM,Mosin,Springfield,Hunter,C1911,Deagle,5-7,Glock 17,Makarov,Ruger,Tokarev,USP,JW 2011,JW G34,SVD,Barrett
4032,3825,5088,5088,5280,1980,5950,2990,2379,5525,660,8250,4950,7560,3969,5353,6160,3570,3060,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,960,450,4,63,0,4,17,6,0,0,0,0,0,0,0,0,0,0,5,0
1632,2380,1824,1440,3456,4620,3315,2860,2196,5185,1540,5060,1950,1080,2835,5151,3780,1870,3480,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,360,360,4,46,0,11,11,9,0,0,0,0,0,0,0,0,0,0,9,0
4224,1615,5376,2208,2112,2220,4590,4095,4453,5950,220,2970,3300,3960,6111,5454,2310,2975,3060,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,720,450,6,77,1,9,14,7,0,0,0,0,0,0,0,0,0,0,13,0
2688,2125,4032,3936,4512,2580,8245,1885,1647,5015,440,7040,2250,3240,1890,6666,6090,935,4020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,840,450,3,73,0,11,6,7,0,0,0,0,0,0,0,0,0,0,4,0
3072,5610,5088,5952,5472,3660,4420,1365,4941,3740,440,7590,6675,2940,2583,8686,3080,4675,2100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,600,360,12,32,0,6,9,10,0,0,0,0,0,0,0,0,0,0,3,0
8448,2805,3168,5280,4704,2880,1700,3315,5734,5185,550,9790,6375,4440,2646,10908,4410,2125,2340,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1200,810,7,16,0,6,9,6,0,0,0,0,0,0,0,0,0,0,8,0
4896,7140,3264,2400,2688,3060,2975,3055,3477,9265,550,3300,3375,3300,1890,3232,4130,2720,1680,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1200,540,10,40,0,5,10,21,0,0,0,0,0,0,0,0,0,0,4,0
4608,6290,7008,3552,4320,3600,2890,4355,1220,2380,220,3410,6150,2880,2016,3939,3360,5610,2640,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,960,270,7,61,1,7,5,3,0,0,0,0,0,0,0,0,0,0,6,0
4800,3230,3360,8736,2784,2340,6545,4355,2196,4165,220,4070,5100,2100,2142,8484,2940,2720,2040,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1200,360,2,105,0,5,5,6,0,0,0,0,0,0,0,0,0,0,6,0
5184,2805,9600,3168,3456,2940,1700,2340,4392,4420,1100,4730,4125,3960,3150,6060,4060,3995,5160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,840,180,5,37,0,13,5,4,0,0,0,0,0,0,0,0,0,0,8,0
