Weapon,Minimum,Q1,Q3,Maximum,Median,IQR
Agram 2000,560,1600.0,2640.0,5920,2080.0,1040.0,Agram 2000,1040,4080.0,6720.0,14960,5280.0,2640.0,Agram 2000,0,0.0,0.0,0,0.0,0.0,Agram 2000,0,0.0,0.0,0,0.0,0.0,Agram 2000,0,0.0,0.0,0,0.0,0.0
CX8 Storm,300,1020.0,1680.0,4200,1320.0,660.0,CX8 Storm,420,2520.0,4365.0,12060,3360.0,1845.0,CX8 Storm,0,0.0,0.0,0,0.0,0.0,CX8 Storm,0,0.0,0.0,0,0.0,0.0,CX8 Storm,0,0.0,0.0,0,0.0,0.0
Vector 10mm,220,715.0,1320.0,3355,990.0,605.0,Vector 10mm,330,1815.0,3355.0,10340,2530.0,1540.0,Vector 10mm,0,0.0,0.0,0,0.0,0.0,Vector 10mm,0,0.0,0.0,0,0.0,0.0,Vector 10mm,0,0.0,0.0,0,0.0,0.0
Vector 9mm,385,1100.0,1760.0,4070,1430.0,660.0,Vector 9mm,770,2805.0,4620.0,11880,3630.0,1815.0,Vector 9mm,0,0.0,0.0,0,0.0,0.0,Vector 9mm,0,0.0,0.0,0,0.0,0.0,Vector 9mm,0,0.0,0.0,0,0.0,0.0
Luty,250,850.0,1400.0,3300,1100.0,550.0,Luty,500,2100.0,3600.0,10400,2800.0,1500.0,Luty,0,0.0,0.0,0,0.0,0.0,Luty,0,0.0,0.0,0,0.0,0.0,Luty,0,0.0,0.0,0,0.0,0.0
MAC-10,200,680.0,1120.0,2640,880.0,440.0,MAC-10,440,1680.0,2880.0,8080,2240.0,1200.0,MAC-10,0,0.0,0.0,0,0.0,0.0,MAC-10,0,0.0,0.0,0,0.0,0.0,MAC-10,0,0.0,0.0,0,0.0,0.0
MAC-11,304,912.0,1406.0,3572,1140.0,494.0,MAC-11,646,2280.0,3572.0,8208,2888.0,1292.0,MAC-11,0,0.0,0.0,0,0.0,0.0,MAC-11,0,0.0,0.0,0,0.0,0.0,MAC-11,0,0.0,0.0,0,0.0,0.0
MAT-49,500,1700.0,2800.0,7600,2200.0,1100.0,MAT-49,900,4300.0,7300.0,21800,5600.0,3000.0,MAT-49,0,0.0,0.0,0,0.0,0.0,MAT-49,0,0.0,0.0,0,0.0,0.0,MAT-49,0,0.0,0.0,0,0.0,0.0
MP40,575,1955.0,3220.0,7245,2530.0,1265.0,MP40,1035,4830.0,8280.0,24150,6440.0,3450.0,MP40,0,0.0,0.0,0,0.0,0.0,MP40,0,0.0,0.0,0,0.0,0.0,MP40,0,0.0,0.0,0,0.0,0.0
MP5,400,1360.0,2240.0,5440,1760.0,880.0,MP5,640,3360.0,5840.0,17280,4480.0,2480.0,MP5,0,0.0,0.0,0,0.0,0.0,MP5,0,0.0,0.0,0,0.0,0.0,MP5,0,0.0,0.0,0,0.0,0.0
MP7,174,174.0,290.0,696,232.0,116.0,MP7,232,754.0,1334.0,3654,1044.0,580.0,MP7,754,3886.0,7192.0,24302,5336.0,3306.0,MP7,0,0.0,0.0,0,0.0,0.0,MP7,0,0.0,0.0,0,0.0,0.0
