AK-109_bins,AK-109,AK5C_bins,AK5C,AK-74_bins,AK-74,AKM_bins,AKM,AKS74-U_bins,AKS74-U,AS VAL_bins,AS VAL,AUG A1_bins,AUG A1,SKS Auto_bins,SKS Auto,Famas-G2_bins,Famas-G2,G36k_bins,G36k,G3A3_bins,G3A3,Galil_bins,Galil,L85A2_bins,L85A2,M16A2_bins,M16A2,M4_bins,M4,SCAR-L_bins,SCAR-L,SG552_bins,SG552,Stoner 63_bins,Stoner 63,VSS_bins,VSS,Agram 2000_bins,Agram 2000,CX8 Storm_bins,CX8 Storm,Vector 10mm_bins,Vector 10mm,Vector 9mm_bins,Vector 9mm,Luty_bins,Luty,MAC-10_bins,MAC-10,MAC-11_bins,MAC-11,MAT-49_bins,MAT-49,MP40_bins,MP40,MP5_bins,MP5,MP7_bins,MP7,MP9_bins,MP9,MPX JW_bins,MPX JW,FNP90_bins,FNP90,PP-19 Bizon_bins,PP-19 Bizon,PPSH_bins,PPSH,Thompson 1928_bins,Thompson 1928,UMP45_bins,UMP45,UMP45 Reaper_bins,UMP45 Reaper,BAR_bins,BAR,XM250_bins,XM250,M1A SASS_bins,M1A SASS,SKS_bins,SKS,AWM_bins,AWM,Mosin_bins,Mosin,Springfield_bins,Springfield,Hunter_bins,Hunter,C1911_bins,C1911,Deagle_bins,Deagle,5-7_bins,5-7,Glock 17_bins,Glock 17,Makarov_bins,Makarov,Ruger_bins,Ruger,Tokarev_bins,Tokarev,USP_bins,USP,JW 2011_bins,JW 2011,JW G34_bins,JW G34,SVD_bins,SVD,Barrett_bins,Barrett
192,7227,170,7286,192,7325,192,7372,192,7341,120,7273,170,7333,130,7361,122,7285,170,7278,110,10000,220,7223,150,7259,120,7225,126,7293,202,7263,140,7266,170,7270,120,7301,560,4,300,3,220,9,385,2,250,5,200,2,304,2,500,2,575,6,400,2,174,3229,315,2,350,1,162,3197,623,2,171,3190,320,9,400,8,400,14,120,10000,90,10000,1,10000,2,7275,0,10000,1,10000,1,10000,1,10000,4,7,1,5595,3,3200,6,11,7,2,21,1,3,3117,4,11,4,10,5,2,1,10000,0,10000
288,2213,255,2192,288,2163,288,2138,288,2140,180,2182,255,2191,195,2139,183,2193,255,2235,,,330,2218,225,2215,180,2238,189,2208,303,2222,210,2199,255,2197,180,2163,640,21,360,12,275,38,440,10,300,7,240,13,342,1,600,8,690,7,480,9,232,3090,378,11,420,9,216,3163,712,11,228,3201,400,35,500,32,500,32,,,,,,,3,2247,,,,,,,,,5,39,2,2862,4,3128,7,16,8,12,22,1,4,3204,5,43,5,36,6,9,,,,
384,466,340,446,384,426,384,407,384,439,240,446,340,403,260,415,244,441,340,418,,,440,463,300,435,240,444,252,427,404,427,280,440,340,436,240,450,720,21,420,34,330,82,495,20,350,23,280,43,380,10,700,27,805,30,560,32,290,1976,441,26,490,27,270,1955,801,16,285,1977,480,74,600,79,600,95,,,,,,,4,377,,,,,,,,,6,95,3,1047,5,1962,8,68,9,23,23,2,5,1939,6,71,6,76,7,30,,,,
480,81,425,63,480,67,480,67,480,66,300,86,425,63,325,73,305,70,425,54,,,550,85,375,77,300,81,315,60,505,79,350,77,425,83,300,78,800,42,480,70,385,128,550,37,400,54,320,42,418,9,800,44,920,38,640,73,348,1005,504,63,560,55,324,999,890,33,342,953,560,145,700,160,700,135,,,,,,,5,90,,,,,,,,,7,160,4,361,6,1013,9,100,10,29,24,1,6,993,7,141,7,125,8,54,,,,
576,12,510,13,576,16,576,16,576,10,360,8,510,8,390,12,366,7,510,10,,,660,11,450,12,360,11,378,11,606,8,420,15,510,11,360,5,880,77,540,90,440,219,605,56,450,101,360,104,456,21,900,98,1035,98,720,97,406,439,567,81,630,104,378,432,979,71,399,410,640,201,800,222,800,212,,,,,,,6,11,,,,,,,,,8,202,5,94,7,454,10,136,11,73,25,9,7,482,8,199,8,228,9,93,,,,
672,1,,,672,2,,,672,4,420,5,595,2,,,427,3,595,5,,,,,525,1,480,1,441,1,707,1,490,3,595,3,420,2,960,113,600,142,495,287,660,93,500,153,400,150,494,42,1000,117,1150,131,800,143,464,165,630,148,700,164,432,171,1068,109,456,176,720,279,900,292,900,292,,,,,,,,,,,,,,,,,9,279,6,28,8,152,11,212,12,103,26,6,8,166,9,290,9,287,10,141,,,,
,,,,768,1,,,,,,,,,,,488,1,,,,,,,600,1,,,,,,,,,,,480,1,1040,155,660,188,550,352,715,161,550,203,440,210,532,77,1100,204,1265,211,880,203,522,62,693,213,770,198,486,53,1157,145,513,70,800,367,1000,362,1000,368,,,,,,,,,,,,,,,,,10,392,7,11,9,62,12,270,13,133,27,11,9,72,10,386,10,414,11,186,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1120,172,720,285,605,447,770,200,600,262,480,256,570,98,1200,276,1380,251,960,248,580,19,756,228,840,216,540,14,1246,178,570,17,880,451,1100,426,1100,440,,,,,,,,,,,,,,,,,11,462,8,1,10,19,13,304,14,156,28,23,10,19,11,419,11,436,12,264,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1200,257,780,306,660,469,825,215,650,331,520,317,608,137,1300,300,1495,331,1040,301,638,12,819,305,910,319,594,12,1335,213,627,5,960,497,1200,456,1200,460,,,,,,,,,,,,,,,,,12,472,11,1,11,7,14,364,15,238,29,26,11,4,12,488,12,478,13,323,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1280,255,840,337,715,511,880,285,700,332,560,378,646,168,1400,403,1610,344,1120,328,696,3,882,337,980,327,648,3,1424,274,684,1,1040,515,1300,515,1300,509,,,,,,,,,,,,,,,,,13,510,,,13,3,15,404,16,281,30,24,12,3,13,536,13,520,14,369,,,,
