AK-109_bins,AK-109,AK5C_bins,AK5C,AK-74_bins,AK-74,AKM_bins,AKM,AKS74-U_bins,AKS74-U,AS VAL_bins,AS VAL,AUG A1_bins,AUG A1,SKS Auto_bins,SKS Auto,Famas-G2_bins,Famas-G2,G36k_bins,G36k,G3A3_bins,G3A3,Galil_bins,Galil,L85A2_bins,L85A2,M16A2_bins,M16A2,M4_bins,M4,SCAR-L_bins,SCAR-L,SG552_bins,SG552,Stoner 63_bins,Stoner 63,VSS_bins,VSS,Agram 2000_bins,Agram 2000,CX8 Storm_bins,CX8 Storm,Vector 10mm_bins,Vector 10mm,Vector 9mm_bins,Vector 9mm,Luty_bins,Luty,MAC-10_bins,MAC-10,MAC-11_bins,MAC-11,MAT-49_bins,MAT-49,MP40_bins,MP40,MP5_bins,MP5,MP7_bins,MP7,MP9_bins,MP9,MPX JW_bins,MPX JW,FNP90_bins,FNP90,PP-19 Bizon_bins,PP-19 Bizon,PPSH_bins,PPSH,Thompson 1928_bins,Thompson 1928,UMP45_bins,UMP45,UMP45 Reaper_bins,UMP45 Reaper,BAR_bins,BAR,XM250_bins,XM250,M1A SASS_bins,M1A SASS,SKS_bins,SKS,AWM_bins,AWM,Mosin_bins,Mosin,Springfield_bins,Springfield,Hunter_bins,Hunter,C1911_bins,C1911,Deagle_bins,Deagle,5-7_bins,5-7,Glock 17_bins,Glock 17,Makarov_bins,Makarov,Ruger_bins,Ruger,Tokarev_bins,Tokarev,USP_bins,USP,JW 2011_bins,JW 2011,JW G34_bins,JW G34,SVD_bins,SVD,Barrett_bins,Barrett
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1360,307,900,403,770,594,935,318,750,392,600,384,684,189,1500,417,1725,404,1200,435,,,945,393,1050,408,702,1,1513,313,,,1120,569,1400,541,1400,557,,,,,,,,,,,,,,,,,14,577,,,,,16,456,17,294,31,36,13,1,14,546,14,532,15,417,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1440,367,960,463,825,536,990,356,800,403,640,448,722,237,1600,477,1840,458,1280,458,,,1008,471,1120,477,,,1602,344,,,1200,568,1500,609,1500,548,,,,,,,,,,,,,,,,,15,559,,,,,17,464,18,360,32,55,,,15,552,15,553,16,471,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1520,372,1020,473,880,570,1045,375,850,507,680,481,760,292,1700,466,1955,462,1360,482,,,1071,480,1190,494,,,1691,384,,,1280,583,1600,574,1600,493,,,,,,,,,,,,,,,,,16,538,,,,,18,515,19,401,33,64,,,16,514,16,594,17,475,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1600,438,1080,504,935,503,1100,422,900,558,720,482,798,310,1800,505,2070,489,1440,491,,,1134,488,1260,480,,,1780,430,,,1360,539,1700,562,1700,565,,,,,,,,,,,,,,,,,17,584,,,,,19,547,20,414,34,67,,,17,579,17,576,18,519,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1680,440,1140,541,990,509,1155,416,950,496,760,513,836,314,1900,501,2185,513,1520,490,,,1197,523,1330,503,,,1869,452,,,1440,529,1800,552,1800,543,,,,,,,,,,,,,,,,,18,511,,,,,20,490,21,453,35,91,,,18,574,18,518,19,575,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1760,430,1200,487,1045,516,1210,475,1000,552,800,505,874,375,2000,459,2300,533,1600,522,,,1260,527,1400,523,,,1958,430,,,1520,503,1900,496,1900,505,,,,,,,,,,,,,,,,,19,499,,,,,21,486,22,461,36,125,,,19,512,19,455,20,515,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1840,451,1260,457,1100,513,1265,481,1050,506,840,501,912,394,2100,470,2415,521,1680,517,,,1323,508,1470,485,,,2047,461,,,1600,481,2000,507,2000,470,,,,,,,,,,,,,,,,,20,450,,,,,22,526,23,497,37,152,,,20,501,20,469,21,511,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1920,481,1320,498,1155,420,1320,467,1100,505,880,485,950,378,2200,487,2530,506,1760,483,,,1386,488,1540,495,,,2136,475,,,1680,455,2100,451,2100,439,,,,,,,,,,,,,,,,,21,427,,,,,23,455,24,437,38,148,,,21,438,21,454,22,445,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2000,418,1380,466,1210,394,1375,448,1150,498,920,472,988,433,2300,496,2645,448,1840,476,,,1449,481,1610,480,,,2225,467,,,1760,384,2200,391,2200,387,,,,,,,,,,,,,,,,,22,399,,,,,24,422,25,462,39,175,,,22,411,22,398,23,470,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2080,439,1440,458,1265,381,1430,477,1200,434,960,430,1026,396,2400,477,2760,455,1920,421,,,1512,431,1680,412,,,2314,481,,,1840,349,2300,346,2300,382,,,,,,,,,,,,,,,,,23,371,,,,,25,390,26,455,40,216,,,23,345,23,376,24,439,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2160,404,1500,418,1320,316,1485,455,1250,389,1000,393,1064,459,2500,462,2875,399,2000,433,,,1575,405,1750,399,,,2403,431,,,1920,332,2400,339,2400,343,,,,,,,,,,,,,,,,,24,339,,,,,26,368,27,428,41,208,,,24,343,24,324,25,402,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2240,420,1560,431,1375,307,1540,381,1300,370,1040,399,1102,398,2600,381,2990,364,2080,373,,,1638,406,1820,381,,,2492,418,,,2000,291,2500,282,2500,287,,,,,,,,,,,,,,,,,25,284,,,,,27,322,28,426,42,232,,,25,304,25,304,26,360,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2320,379,1620,329,1430,239,1595,364,1350,357,1080,347,1140,422,2700,366,3105,345,2160,322,,,1701,350,1890,364,,,2581,363,,,2080,233,2600,268,2600,276,,,,,,,,,,,,,,,,,26,249,,,,,28,345,29,434,43,217,,,26,251,26,271,27,328,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2400,369,1680,335,1485,251,1650,356,1400,337,1120,336,1178,416,2800,306,3220,330,2240,292,,,1764,320,1960,331,,,2670,369,,,2160,235,2700,220,2700,220,,,,,,,,,,,,,,,,,27,223,,,,,29,289,30,339,44,255,,,27,219,27,242,28,300,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2480,324,1740,270,1540,230,1705,360,1450,266,1160,282,1216,409,2900,291,3335,265,2320,317,,,1827,295,2030,308,,,2759,357,,,2240,194,2800,216,2800,220,,,,,,,,,,,,,,,,,28,210,,,,,30,266,31,338,45,266,,,28,189,28,188,29,285,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2560,338,1800,262,1595,171,1760,312,1500,271,1200,275,1254,372,3000,252,3450,270,2400,267,,,1890,243,2100,244,,,2848,290,,,2320,196,2900,152,2900,196,,,,,,,,,,,,,,,,,29,184,,,,,31,247,32,318,46,275,,,29,177,29,167,30,247,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2640,283,1860,219,1650,142,1815,291,1550,227,1240,226,1292,358,3100,220,3565,238,2480,224,,,1953,259,2170,233,,,2937,255,,,2400,163,3000,144,3000,156,,,,,,,,,,,,,,,,,30,168,,,,,32,204,33,299,47,308,,,30,139,30,135,31,246,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2720,274,1920,199,1705,133,1870,259,1600,207,1280,210,1330,361,3200,191,3680,214,2560,199,,,2016,218,2240,216,,,3026,249,,,2480,112,3100,129,3100,149,,,,,,,,,,,,,,,,,31,123,,,,,33,167,34,252,48,315,,,31,126,31,135,32,197,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2800,252,1980,191,1760,118,1925,233,1650,171,1320,202,1368,312,3300,154,3795,179,2640,202,,,2079,162,2310,173,,,3115,281,,,2560,119,3200,122,3200,118,,,,,,,,,,,,,,,,,32,109,,,,,34,172,35,249,49,313,,,32,104,32,123,33,172,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2880,230,2040,158,1815,107,1980,223,1700,149,1360,160,1406,302,3400,174,3910,160,2720,181,,,2142,151,2380,169,,,3204,227,,,2640,87,3300,85,3300,105,,,,,,,,,,,,,,,,,33,101,,,,,35,155,36,215,50,312,,,33,109,33,92,34,156,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2960,196,2100,149,1870,92,2035,193,1750,119,1400,148,1444,293,3500,144,4025,167,2800,140,,,2205,145,2450,118,,,3293,190,,,2720,79,3400,74,3400,86,,,,,,,,,,,,,,,,,34,62,,,,,36,126,37,177,51,329,,,34,70,34,66,35,139,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3040,183,2160,149,1925,72,2090,191,1800,120,1440,112,1482,229,3600,128,4140,140,2880,118,,,2268,115,2520,139,,,3382,181,,,2800,72,3500,73,3500,66,,,,,,,,,,,,,,,,,35,75,,,,,37,111,38,149,52,312,,,35,58,35,72,36,134,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3120,158,2220,97,1980,65,2145,148,1850,116,1480,96,1520,230,3700,115,4255,106,2960,108,,,2331,117,2590,116,,,3471,140,,,2880,64,3600,47,3600,47,,,,,,,,,,,,,,,,,36,58,,,,,38,91,39,155,53,323,,,36,49,36,60,37,120,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3200,123,2280,83,2035,43,2200,103,1900,85,1520,98,1558,162,3800,78,4370,96,3040,99,,,2394,99,2660,92,,,3560,136,,,2960,40,3700,40,3700,52,,,,,,,,,,,,,,,,,37,46,,,,,39,76,40,134,54,288,,,37,48,37,52,38,103,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3280,111,2340,85,2090,38,2255,120,1950,77,1560,79,1596,155,3900,80,4485,70,3120,70,,,2457,75,2730,85,,,3649,102,,,3040,41,3800,46,3800,41,,,,,,,,,,,,,,,,,38,30,,,,,40,65,41,96,55,298,,,38,36,38,37,39,82,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3360,96,2400,72,2145,43,2310,107,2000,64,1600,60,1634,155,4000,71,4600,68,3200,66,,,2520,77,2800,73,,,3738,93,,,3120,35,3900,22,3900,31,,,,,,,,,,,,,,,,,39,49,,,,,41,56,42,98,56,309,,,39,37,39,27,40,71,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3440,80,2460,51,2200,25,2365,84,2050,57,1640,60,1672,144,4100,42,4715,62,3280,66,,,2583,62,2870,57,,,3827,87,,,3200,25,4000,24,4000,24,,,,,,,,,,,,,,,,,40,21,,,,,42,51,43,82,57,296,,,40,42,40,37,41,65,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3520,76,2520,37,2255,19,2420,73,2100,42,1680,60,1710,111,4200,53,4830,41,3360,58,,,2646,46,2940,53,,,3916,70,,,3280,25,4100,23,4100,21,,,,,,,,,,,,,,,,,41,25,,,,,43,53,44,84,58,267,,,41,22,41,25,42,45,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3600,64,2580,43,2310,20,2475,67,2150,40,1720,38,1748,124,4300,34,4945,37,3440,38,,,2709,51,3010,42,,,4005,62,,,3360,23,4200,16,4200,19,,,,,,,,,,,,,,,,,42,21,,,,,44,27,45,63,59,276,,,42,19,42,16,43,41,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3680,67,2640,32,2365,21,2530,62,2200,39,1760,35,1786,86,4400,35,5060,36,3520,37,,,2772,32,3080,34,,,4094,67,,,3440,18,4300,16,4300,19,,,,,,,,,,,,,,,,,43,18,,,,,45,28,46,64,60,278,,,43,21,43,15,44,37,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3760,47,2700,23,2420,10,2585,43,2250,25,1800,29,1824,85,4500,35,5175,39,3600,31,,,2835,21,3150,38,,,4183,47,,,3520,17,4400,15,4400,14,,,,,,,,,,,,,,,,,44,16,,,,,46,17,47,48,61,238,,,44,13,44,11,45,37,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3840,33,2760,29,2475,11,2640,35,2300,17,1840,17,1862,79,4600,23,5290,23,3680,26,,,2898,24,3220,26,,,4272,44,,,3600,16,4500,11,4500,11,,,,,,,,,,,,,,,,,45,9,,,,,47,20,48,38,62,228,,,45,16,45,14,46,22,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3920,39,2820,14,2530,16,2695,22,2350,22,1880,21,1900,79,4700,25,5405,28,3760,21,,,2961,20,3290,20,,,4361,43,,,3680,5,4600,11,4600,5,,,,,,,,,,,,,,,,,46,8,,,,,48,16,49,39,63,201,,,46,7,46,6,47,17,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4000,34,2880,17,2585,10,2750,32,2400,20,1920,21,1938,51,4800,20,5520,19,3840,18,,,3024,20,3360,17,,,4450,25,,,3760,8,4700,12,4700,7,,,,,,,,,,,,,,,,,47,5,,,,,49,16,50,32,64,188,,,47,10,47,7,48,16,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4080,25,2940,14,2640,5,2805,31,2450,12,1960,16,1976,44,4900,16,5635,14,3920,15,,,3087,9,3430,13,,,4539,35,,,3840,11,4800,6,4800,8,,,,,,,,,,,,,,,,,48,8,,,,,50,11,51,27,65,202,,,48,6,48,6,49,10,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4160,16,3000,15,2695,5,2860,22,2500,11,2000,10,2014,46,5000,11,5750,11,4000,8,,,3150,16,3500,16,,,4628,20,,,3920,4,4900,2,4900,6,,,,,,,,,,,,,,,,,49,2,,,,,51,15,52,20,66,197,,,49,3,49,5,50,15,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4240,21,3060,6,2750,3,2915,19,2550,17,2040,10,2052,28,5100,7,5865,11,4080,13,,,3213,11,3570,13,,,4717,18,,,4000,2,5000,4,5000,1,,,,,,,,,,,,,,,,,50,2,,,,,52,7,53,24,67,184,,,50,3,50,10,51,10,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4320,18,3120,13,2805,3,2970,20,2600,14,2080,7,2090,27,5200,8,5980,9,4160,9,,,3276,6,3640,6,,,4806,13,,,4080,3,5100,1,5100,6,,,,,,,,,,,,,,,,,51,5,,,,,53,7,54,17,68,157,,,51,3,51,3,52,5,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4400,16,3180,5,2860,1,3025,15,2650,4,2120,3,2128,32,5300,8,6095,4,4240,6,,,3339,8,3710,7,,,4895,23,,,4160,5,5200,6,5200,6,,,,,,,,,,,,,,,,,52,2,,,,,54,6,55,13,69,156,,,52,5,52,3,53,4,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4480,11,3240,7,2915,1,3080,12,2700,10,2160,4,2166,33,5400,6,6210,3,4320,2,,,3402,4,3780,8,,,4984,12,,,4240,2,5300,1,5300,4,,,,,,,,,,,,,,,,,53,2,,,,,55,4,56,11,70,121,,,53,2,53,2,54,1,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4560,15,3300,5,2970,1,3135,12,2750,5,2200,5,2204,15,5500,8,6325,2,4400,9,,,3465,6,3850,6,,,5073,10,,,4320,4,5500,2,5400,2,,,,,,,,,,,,,,,,,54,2,,,,,56,2,57,7,71,118,,,54,3,54,1,55,6,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4640,9,3360,5,3025,1,3190,9,2800,3,2240,7,2242,13,5600,2,6440,1,4480,5,,,3528,6,3920,7,,,5162,8,,,4480,2,5600,3,5500,1,,,,,,,,,,,,,,,,,55,2,,,,,57,6,58,6,72,115,,,55,1,55,2,56,2,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4720,6,3420,6,3080,1,3245,6,2850,4,2280,2,2280,15,5700,1,6555,5,4560,5,,,3591,2,3990,2,,,5251,13,,,4560,1,5700,1,5600,2,,,,,,,,,,,,,,,,,56,2,,,,,58,4,59,5,73,97,,,56,2,57,1,57,2,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4800,4,3480,1,3300,1,3300,5,2900,1,2320,6,2318,13,5800,1,6670,3,4640,1,,,3654,2,4060,2,,,5340,6,,,4800,1,5800,2,5900,1,,,,,,,,,,,,,,,,,59,2,,,,,59,1,60,7,74,100,,,57,1,59,1,58,5,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4880,4,3540,3,3355,1,3355,6,2950,4,2360,3,2356,11,5900,3,6785,3,4720,2,,,3717,3,4130,2,,,5429,7,,,5200,1,6100,1,6200,1,,,,,,,,,,,,,,,,,60,1,,,,,60,3,61,5,75,79,,,58,1,61,3,59,2,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4960,2,3600,2,,,3410,2,3000,1,2440,4,2394,4,6000,4,7015,1,4800,2,,,3843,2,4200,3,,,5518,2,,,5520,1,6200,1,6300,1,,,,,,,,,,,,,,,,,61,1,,,,,61,3,62,5,76,88,,,59,4,70,1,60,2,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5040,2,3660,3,,,3465,3,3050,2,2480,1,2432,9,6100,3,7245,1,5120,2,,,3906,2,4270,2,,,5607,3,,,,,6600,1,7300,1,,,,,,,,,,,,,,,,,64,1,,,,,62,1,63,4,77,65,,,64,1,71,1,61,1,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5120,1,3780,1,,,3520,3,3150,1,2520,1,2470,10,6200,1,,,5200,2,,,3969,1,4340,1,,,5696,2,,,,,7400,1,7400,1,,,,,,,,,,,,,,,,,65,1,,,,,63,2,65,2,78,64,,,,,,,62,1,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5200,2,3840,2,,,3575,2,3300,2,2640,1,2508,4,6400,2,,,5440,2,,,4032,1,4410,1,,,5785,1,,,,,,,,,,,,,,,,,,,,,,,,,81,1,,,,,65,1,66,2,79,59,,,,,,,63,1,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5280,1,4020,1,,,3630,2,,,,,2546,5,6500,1,,,,,,,4284,1,4480,1,,,5963,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,66,1,74,2,80,60,,,,,,,64,1,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5360,2,4200,1,,,3740,1,,,,,2584,1,6600,1,,,,,,,4347,1,4760,1,,,6141,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,67,1,78,1,81,48,,,,,,,65,1,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5520,2,,,,,4015,1,,,,,2622,2,6800,1,,,,,,,4473,1,4830,1,,,6319,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,68,1,80,1,82,39,,,,,,,74,1,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5680,1,,,,,4070,1,,,,,2660,1,6900,1,,,,,,,5166,1,4970,2,,,6497,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,83,31,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5760,1,,,,,,,,,,,2698,1,7600,1,,,,,,,,,5180,1,,,6586,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,84,35,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5920,1,,,,,,,,,,,2736,1,,,,,,,,,,,,,,,7120,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,85,36,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2812,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,86,13,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2850,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,87,20,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2926,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,88,16,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3078,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,89,20,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3116,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90,26,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3572,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,91,16,,,,,,,,,,,,
