AK-109_bins,AK-109,AK5C_bins,AK5C,AK-74_bins,AK-74,AKM_bins,AKM,AKS74-U_bins,AKS74-U,AS VAL_bins,AS VAL,AUG A1_bins,AUG A1,SKS Auto_bins,SKS Auto,Famas-G2_bins,Famas-G2,G36k_bins,G36k,G3A3_bins,G3A3,Galil_bins,Galil,L85A2_bins,L85A2,M16A2_bins,M16A2,M4_bins,M4,SCAR-L_bins,SCAR-L,SG552_bins,SG552,Stoner 63_bins,Stoner 63,VSS_bins,VSS,Agram 2000_bins,Agram 2000,CX8 Storm_bins,CX8 Storm,Vector 10mm_bins,Vector 10mm,Vector 9mm_bins,Vector 9mm,Luty_bins,Luty,MAC-10_bins,MAC-10,MAC-11_bins,MAC-11,MAT-49_bins,MAT-49,MP40_bins,MP40,MP5_bins,MP5,MP7_bins,MP7,MP9_bins,MP9,MPX JW_bins,MPX JW,FNP90_bins,FNP90,PP-19 Bizon_bins,PP-19 Bizon,PPSH_bins,PPSH,Thompson 1928_bins,Thompson 1928,UMP45_bins,UMP45,UMP45 Reaper_bins,UMP45 Reaper,BAR_bins,BAR,XM250_bins,XM250,M1A SASS_bins,M1A SASS,SKS_bins,SKS,AWM_bins,AWM,Mosin_bins,Mosin,Springfield_bins,Springfield,Hunter_bins,Hunter,C1911_bins,C1911,Deagle_bins,Deagle,5-7_bins,5-7,Glock 17_bins,Glock 17,Makarov_bins,Makarov,Ruger_bins,Ruger,Tokarev_bins,Tokarev,USP_bins,USP,JW 2011_bins,JW 2011,JW G34_bins,JW G34,SVD_bins,SVD,Barrett_bins,Barrett
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1280,473,960,492,825,356,935,603,800,539,640,517,646,643,1600,515,1840,566,1280,510,,,1008,482,1120,482,,,1513,681,,,1120,205,1400,216,1400,195,,,,,,,,,,,,,,,,,15,356,,,,,16,507,17,652,24,647,,,15,373,15,369,16,517,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1360,383,1020,374,880,236,990,530,850,389,680,406,684,496,1700,396,1955,405,1360,393,,,1071,369,1190,389,,,1602,547,,,1200,158,1500,130,1500,135,,,,,,,,,,,,,,,,,16,272,,,,,17,380,18,508,25,681,,,16,247,16,244,17,390,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1440,326,1080,304,935,183,1045,413,900,272,720,312,722,420,1800,305,2070,279,1440,279,,,1134,306,1260,317,,,1691,464,,,1280,110,1600,109,1600,103,,,,,,,,,,,,,,,,,17,176,,,,,18,326,19,393,26,679,,,17,196,17,167,18,327,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1520,220,1140,207,990,128,1100,344,950,249,760,231,760,313,1900,206,2185,249,1520,244,,,1197,191,1330,212,,,1780,335,,,1360,65,1700,60,1700,71,,,,,,,,,,,,,,,,,18,138,,,,,19,204,20,313,27,676,,,18,132,18,126,19,222,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1600,152,1200,156,1045,99,1155,234,1000,175,800,178,798,264,2000,157,2300,156,1600,153,,,1260,148,1400,154,,,1869,272,,,1440,48,1800,55,1800,49,,,,,,,,,,,,,,,,,19,87,,,,,20,148,21,236,28,691,,,19,81,19,89,20,149,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1680,113,1260,133,1100,55,1210,169,1050,104,840,112,836,208,2100,118,2415,131,1680,108,,,1323,124,1470,124,,,1958,180,,,1520,34,1900,28,1900,30,,,,,,,,,,,,,,,,,20,60,,,,,21,101,22,201,29,598,,,20,65,20,65,21,114,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1760,91,1320,74,1155,33,1265,143,1100,81,880,73,874,150,2200,93,2530,78,1760,82,,,1386,78,1540,88,,,2047,138,,,1600,14,2000,11,2000,16,,,,,,,,,,,,,,,,,21,47,,,,,22,81,23,138,30,572,,,21,42,21,41,22,99,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1840,51,1380,60,1210,26,1320,110,1150,57,920,45,912,108,2300,53,2645,48,1840,67,,,1449,68,1610,61,,,2136,107,,,1680,24,2100,7,2100,12,,,,,,,,,,,,,,,,,22,24,,,,,23,53,24,106,31,534,,,22,33,22,15,23,57,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1920,39,1440,51,1265,25,1375,90,1200,39,960,54,950,75,2400,44,2760,39,1920,48,,,1512,27,1680,44,,,2225,83,,,1760,10,2200,3,2200,9,,,,,,,,,,,,,,,,,23,12,,,,,24,53,25,82,32,465,,,23,21,23,12,24,37,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2000,31,1500,32,1320,14,1430,48,1250,31,1000,23,988,53,2500,35,2875,27,2000,26,,,1575,25,1750,38,,,2314,61,,,1920,2,2300,5,2300,7,,,,,,,,,,,,,,,,,24,12,,,,,25,36,26,62,33,352,,,24,9,24,21,25,18,,,,
