AK-109_bins,AK-109,AK5C_bins,AK5C,AK-74_bins,AK-74,AKM_bins,AKM,AKS74-U_bins,AKS74-U,AS VAL_bins,AS VAL,AUG A1_bins,AUG A1,SKS Auto_bins,SKS Auto,Famas-G2_bins,Famas-G2,G36k_bins,G36k,G3A3_bins,G3A3,Galil_bins,Galil,L85A2_bins,L85A2,M16A2_bins,M16A2,M4_bins,M4,SCAR-L_bins,SCAR-L,SG552_bins,SG552,Stoner 63_bins,Stoner 63,VSS_bins,VSS,Agram 2000_bins,Agram 2000,CX8 Storm_bins,CX8 Storm,Vector 10mm_bins,Vector 10mm,Vector 9mm_bins,Vector 9mm,Luty_bins,Luty,MAC-10_bins,MAC-10,MAC-11_bins,MAC-11,MAT-49_bins,MAT-49,MP40_bins,MP40,MP5_bins,MP5,MP7_bins,MP7,MP9_bins,MP9,MPX JW_bins,MPX JW,FNP90_bins,FNP90,PP-19 Bizon_bins,PP-19 Bizon,PPSH_bins,PPSH,Thompson 1928_bins,Thompson 1928,UMP45_bins,UMP45,UMP45 Reaper_bins,UMP45 Reaper,BAR_bins,BAR,XM250_bins,XM250,M1A SASS_bins,M1A SASS,SKS_bins,SKS,AWM_bins,AWM,Mosin_bins,Mosin,Springfield_bins,Springfield,Hunter_bins,Hunter,C1911_bins,C1911,Deagle_bins,Deagle,5-7_bins,5-7,Glock 17_bins,Glock 17,Makarov_bins,Makarov,Ruger_bins,Ruger,Tokarev_bins,Tokarev,USP_bins,USP,JW 2011_bins,JW 2011,JW G34_bins,JW G34,SVD_bins,SVD,Barrett_bins,Barrett
96,10000,170,10000,192,10000,96,10000,192,10000,60,10000,85,10000,65,10000,122,10000,170,10000,110,10000,110,10000,150,10000,60,10000,126,10000,202,10000,140,10000,85,10000,60,10000,240,5159,180,5233,110,6241,165,5167,150,5217,120,5178,114,5175,300,5246,230,6126,160,6098,116,8585,126,6119,210,5240,108,8604,267,5193,114,8645,160,6196,200,6108,200,6199,120,10000,90,10000,1,10000,1,10000,0,10000,1,10000,1,10000,0,10000,2,6147,0,9499,2,8593,3,5183,3,5306,7,2647,2,8573,2,6192,2,6102,3,5202,1,10000,0,10000
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,320,3120,240,3097,165,2661,220,3163,200,3155,160,3175,152,3181,400,3079,345,2788,240,2831,174,1286,189,2811,280,3127,162,1260,356,3183,171,1222,240,2688,300,2769,300,2734,,,,,,,,,,,,,,,,,3,2735,1,475,3,1275,4,3150,4,3061,8,3365,3,1289,3,2690,3,2809,4,3152,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,400,1226,300,1190,220,829,275,1186,250,1174,200,1177,190,1140,500,1176,460,851,320,792,232,115,252,802,350,1131,216,122,445,1157,228,122,320,853,400,844,400,808,,,,,,,,,,,,,,,,,4,865,2,24,4,128,5,1211,5,1142,9,2221,4,121,4,830,4,811,5,1185,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,480,376,360,359,275,199,330,369,300,323,240,351,228,372,600,367,575,181,400,225,290,14,315,213,420,386,270,12,534,354,285,8,400,215,500,215,500,203,,,,,,,,,,,,,,,,,5,199,3,2,5,4,6,338,6,361,10,1119,5,16,5,229,5,214,6,333,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,560,84,420,87,330,57,385,85,350,104,280,87,266,100,700,109,690,42,480,43,,,378,40,490,92,324,2,623,87,342,2,480,31,600,54,600,44,,,,,,,,,,,,,,,,,6,43,,,,,7,92,7,104,11,426,6,1,6,39,6,54,7,99,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,640,23,480,25,385,10,440,22,400,19,320,28,304,25,800,20,805,8,560,10,,,441,12,560,17,,,712,19,399,1,560,11,700,8,700,10,,,,,,,,,,,,,,,,,7,10,,,,,8,21,8,22,12,149,,,7,16,7,9,8,21,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,720,8,540,8,440,3,495,6,450,4,360,2,342,6,900,3,920,2,640,1,,,504,3,630,5,,,801,5,,,640,5,800,2,800,2,,,,,,,,,,,,,,,,,9,1,,,,,9,4,9,4,13,57,,,8,2,9,1,9,7,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,800,4,600,1,,,550,1,500,4,440,2,418,1,,,1035,2,,,,,,,700,1,,,890,1,,,720,1,,,,,,,,,,,,,,,,,,,,,,,,,,,11,1,,,14,14,,,9,2,,,12,1,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,660,1,,,,,,,,,,,,,,,,,770,1,,,979,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,2,,,,,,,,,,,,
